date,season,weathersit,temp,atemp,hum,windspeed,holiday,is_weekend,cnt
2015-01-04 0:00,3,3,3,2,93,6,0,1,182
2015-01-04 1:00,3,1,3,2.5,93,5,0,1,138
2015-01-04 2:00,3,1,2.5,2.5,96.5,0,0,1,134
2015-01-04 3:00,3,1,2,2,100,0,0,1,72
2015-01-04 4:00,3,1,2,0,93,6.5,0,1,47
2015-01-04 5:00,3,1,2,2,93,4,0,1,46
2015-01-04 6:00,3,4,1,-1,100,7,0,1,51
2015-01-04 7:00,3,4,1,-1,100,7,0,1,75
2015-01-04 8:00,3,4,1.5,-1,96.5,8,0,1,131
2015-01-04 9:00,3,3,2,-0.5,100,9,0,1,301
2015-01-04 10:00,3,3,3,-0.5,93,12,0,1,528
2015-01-04 11:00,3,3,2,-1.5,100,12,0,1,727
2015-01-04 12:00,3,4,2,-1.5,96.5,13,0,1,862
2015-01-04 13:00,3,3,3,-0.5,87,15,0,1,916
2015-01-04 14:00,3,3,2.5,0,90,8,0,1,1039
2015-01-04 15:00,3,3,2,-1.5,93,11,0,1,869
2015-01-04 16:00,3,3,3,0,93,12,0,1,737
2015-01-04 17:00,3,3,3,0,93,11,0,1,594
2015-01-04 18:00,3,3,3,1.5,93,6.5,0,1,522
2015-01-04 19:00,3,3,3,1,93,7,0,1,379
2015-01-04 20:00,3,3,3,3,93,4,0,1,328
2015-01-04 21:00,3,4,3,2.5,93,5,0,1,221
2015-01-04 22:00,3,4,3,2,93,6,0,1,178
2015-01-04 23:00,3,4,4,3.5,87,5,0,1,157
2015-01-05 0:00,3,4,4,3,93,6,0,0,83
2015-01-05 1:00,3,4,4,3.5,93,5,0,0,67
2015-01-05 2:00,3,4,5,4,87,6,0,0,32
2015-01-05 3:00,3,4,6,4.5,84,7.5,0,0,22
2015-01-05 4:00,3,4,6.5,5,84,8,0,0,38
2015-01-05 5:00,3,4,6,5.5,87,5,0,0,81
2015-01-05 6:00,3,3,7,6.5,81,5,0,0,444
2015-01-05 7:00,3,3,7,6,81,6.5,0,0,1597
2015-01-05 8:00,3,3,8,7.5,79,5,0,0,3161
2015-01-05 9:00,3,3,8,7,82,6,0,0,1342
2015-01-05 10:00,3,3,9,8,84.5,6.5,0,0,568
2015-01-05 11:00,3,3,9,7.5,90.5,10,0,0,584
2015-01-05 12:00,3,3,10,8,85,11,0,0,762
2015-01-05 13:00,3,3,10,8.5,82,10,0,0,873
2015-01-05 14:00,3,3,10,9,82,9,0,0,672
2015-01-05 15:00,3,3,10,8.5,79,10,0,0,807
2015-01-05 16:00,3,3,10,8.5,73.5,13,0,0,1192
2015-01-05 17:00,3,3,9.5,7.5,73.5,12,0,0,2761
2015-01-05 18:00,3,3,9.5,7.5,69,14,0,0,2389
2015-01-05 19:00,3,3,9,6.5,71,14,0,0,1274
2015-01-05 20:00,3,3,9,7,71,14,0,0,696
2015-01-05 21:00,3,3,9,7,71,11,0,0,411
2015-01-05 22:00,3,4,9,7.5,71,10,0,0,324
2015-01-05 23:00,3,4,8.5,7.5,73.5,8,0,0,192
2015-01-06 0:00,3,4,8,6.5,76,8,0,0,91
2015-01-06 1:00,3,4,8,6.5,76,8,0,0,73
2015-01-06 2:00,3,4,8,6,76,11,0,0,33
2015-01-06 3:00,3,4,8,5.5,76,14,0,0,19
2015-01-06 4:00,3,4,8.5,6.5,73.5,11,0,0,40
2015-01-06 5:00,3,4,8,5.5,82,14,0,0,74
